step,loss
50,1.0529
100,0.8861
150,0.5234
200,0.3058
250,0.3874
300,0.4216
350,0.3576
400,0.4384
450,0.5438
500,0.5215
550,0.4778
600,0.5373
650,0.3368
700,0.4162
750,0.4969
800,0.509
850,0.4663
900,0.4571
950,0.5094
1000,0.382
1050,0.4214
1100,0.378
1150,0.3775
1200,0.4094
1250,0.1979
1300,0.3935
1350,0.3206
1400,0.4357
1450,0.3364
1500,0.3411
1550,0.2984
1600,0.3466
1650,0.4312
1700,0.3999
1750,0.4287
1800,0.3258
1850,0.3535
1900,0.4033
1950,0.358
2000,0.4025
2050,0.3939
2100,0.3456
2150,0.3546
2200,0.3452
2250,0.2938
2300,0.3998
2350,0.3288
2400,0.2954
2450,0.3476
2500,0.3871
2550,0.2549
2600,0.3514
2650,0.269
2700,0.2607
2750,0.3294
2800,0.2702
2850,0.3694
2900,0.3468
2950,0.2932
3000,0.3083
3050,0.3299
3100,0.3553
3150,0.3062
3200,0.4377
3250,0.3121
3300,0.2492
3350,0.3088
3400,0.3351
3450,0.3018
3500,0.2909
3550,0.3228
3600,0.3482
3650,0.2526
3700,0.2683
3750,0.3825
3800,0.3319
3850,0.3094
3900,0.283
3950,0.2605
4000,0.3748
4050,0.2659
4100,0.3679
4150,0.3681
4200,0.3293
4250,0.3185
4300,0.2644
4350,0.3252
4400,0.3712
4450,0.2618
4500,0.2829
4550,0.2849
4600,0.2514
4650,0.26
4700,0.2714
4750,0.2808
4800,0.3457
4850,0.268
4900,0.2229
4950,0.2678
5000,0.3
5050,0.3033
5100,0.1967
5150,0.233
5200,0.2585
5250,0.243
5300,0.3126
5350,0.1869
5400,0.3125
5450,0.2663
5500,0.256
5550,0.275
5600,0.2675
5650,0.2899
5700,0.2876
5750,0.2718
5800,0.2741
5850,0.1765
5900,0.2595
5950,0.1538
6000,0.2172
6050,0.1248
6100,0.2204
6150,0.1595
6200,0.2459
6250,0.1484
6300,0.2802
6350,0.1498
6400,0.3332
6450,0.2035
6500,0.1433
6550,0.3089
6600,0.2715
6650,0.1738
6700,0.2472
6750,0.2479
6800,0.1886
6850,0.2335
6900,0.2658
6950,0.2258
7000,0.2421
7050,0.1876
7100,0.2119
7150,0.22
7200,0.2018
7250,0.1713
7300,0.2003
7350,0.2064
7400,0.1974
7450,0.1866
7500,0.2953
7550,0.2154
7600,0.2754
7650,0.1718
7700,0.1099
7750,0.1708
7800,0.22
7850,0.1739
7900,0.2504
7950,0.2399
8000,0.2454
8050,0.2203
8100,0.3159
8150,0.2815
8200,0.1917
8250,0.2408
8300,0.2157
8350,0.1731
8400,0.1787
8450,0.185
8500,0.3097
8550,0.1728
8600,0.1966
8650,0.1816
8700,0.2458
8750,0.1139
8800,0.1697
8850,0.1859
8900,0.2497
8950,0.1779
9000,0.0992
9050,0.2476
9100,0.2253
9150,0.1644
9200,0.2196
9250,0.1921
9300,0.1943
9350,0.2237
9400,0.1392
9450,0.2605
9500,0.1335
9550,0.154
9600,0.2065
9650,0.198
9700,0.1769
9750,0.1129
9800,0.2485
9850,0.1662
9900,0.2352
9950,0.1625
10000,0.2132
10050,0.2227
10100,0.1603
10150,0.1792
10200,0.1721
10250,0.1837
10300,0.1885
10350,0.2179
10400,0.1601
10450,0.2129
10500,0.1244
10550,0.1576
10600,0.2499
10650,0.1651
10700,0.1895
10750,0.1828
10800,0.2629
10850,0.2089
10900,0.151
10950,0.1026
11000,0.1706
11050,0.1923
11100,0.2033
11150,0.171
11200,0.1968
11250,0.1641
11300,0.2507
11350,0.1385
11400,0.1567
11450,0.1879
11500,0.1728
11550,0.0831
11600,0.1535
11650,0.0917
11700,0.0924
11750,0.0878
11800,0.1601
11850,0.1804
11900,0.0926
11950,0.1207
12000,0.0751
12050,0.1087
12100,0.14
12150,0.1347
12200,0.1249
12250,0.1072
12300,0.0417
12350,0.1367
12400,0.1143
12450,0.1854
12500,0.0866
12550,0.0576
12600,0.1412
12650,0.1397
12700,0.1158
12750,0.1433
12800,0.0807
12850,0.0888
12900,0.1025
12950,0.1014
13000,0.131
13050,0.0734
13100,0.116
13150,0.1544
13200,0.0667
13250,0.1538
13300,0.0602
13350,0.1659
13400,0.1145
13450,0.0988
13500,0.1262
13550,0.1521
13600,0.1274
13650,0.1583
13700,0.04
13750,0.0424
13800,0.1085
13850,0.1432
13900,0.072
13950,0.113
14000,0.0689
14050,0.0747
14100,0.0982
14150,0.0891
14200,0.1102
14250,0.0824
14300,0.0557
14350,0.0952
14400,0.1261
14450,0.045
14500,0.1401
14550,0.1404
14600,0.098
14650,0.0886
14700,0.1166
14750,0.1567
14800,0.1041
14850,0.0988
14900,0.083
14950,0.1216
15000,0.0419
15050,0.1232
15100,0.0758
15150,0.0767
15200,0.1003
15250,0.0746
15300,0.0638
15350,0.1211
15400,0.0563
15450,0.0872
15500,0.0461
15550,0.0922
15600,0.126
15650,0.1162
15700,0.1198
15750,0.0555
15800,0.1358
15850,0.0564
15900,0.1106
15950,0.0588
16000,0.0856
16050,0.0589
16100,0.1042
16150,0.0668
16200,0.0701
16250,0.1304
16300,0.0753
16350,0.1114
16400,0.0989
16450,0.0666
16500,0.0671
16550,0.0968
16600,0.1454
16650,0.0594
16700,0.1019
16750,0.1857
16800,0.0909
16850,0.1025
16900,0.0917
16950,0.0527
17000,0.0611
17050,0.0801
17100,0.0826
